City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
480,Enshi,CN,75.49,scattered clouds,30.3,109.4833,Moevenpick Enshi
482,Mayumba,GA,80.69,overcast clouds,-3.432,10.6554,LIKWALE LODGE
486,Chinhoyi,ZW,67.01,light rain,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
487,Bani,DO,73.85,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
488,Wukari,NG,91.71,overcast clouds,7.85,9.7833,Elimtop
489,Loandjili,CG,81.91,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
490,Rincon,US,67.86,overcast clouds,32.296,-81.2354,Days Inn Rincon
493,Nhamunda,BR,72.59,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
494,Kibala,TD,98.37,overcast clouds,9.1104,18.3463,hotel safari
497,Nicoya,CR,74.79,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
498,Migori,KE,74.7,moderate rain,-1.0634,34.4731,"Calabash Hotel, Migori"
499,Sao Benedito Do Rio Preto,BR,74.48,overcast clouds,-3.3336,-43.5283,João de Barro Hotel
500,Sungaipenuh,ID,73.62,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
501,Grand Gaube,MU,82.8,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
503,Pauini,BR,70.32,moderate rain,-7.7136,-66.9764,Casa do Kiwliks
504,Pacasmayo,PE,67.03,overcast clouds,-7.4006,-79.5714,Hotel Libertad
506,Tibiri,NE,97.14,clear sky,13.5627,7.0485,FADA GAO FA TIBIRI
511,Khromtau,KZ,69.28,overcast clouds,50.2503,58.4347,Придорожный сервис Кең Дала
512,Zemio,CF,88.38,overcast clouds,5.0314,25.1361,OCHA Office
513,Alice Springs,AU,69.22,clear sky,-23.7,133.8833,Desert Palms Alice Springs
515,Bengkulu,ID,82.11,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
518,Ugoofaaru,MV,83.25,overcast clouds,5.6667,73.0,Ungoofaaru Inn
519,Mogadishu,SO,85.66,scattered clouds,2.0371,45.3438,Hotel Juba
520,Xinzhou,CN,69.03,overcast clouds,38.4092,112.7333,Shell Hotel - Xinzhou
523,The Valley,AI,77.09,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
524,Ambalavao,MG,76.95,clear sky,-21.8333,46.9333,Hôtel Le Tropik
528,Sabang,ID,84.72,broken clouds,5.8933,95.3214,Hotel Citra
533,Kanigoro,ID,76.75,moderate rain,-8.13,112.219,Musafer Villa ( Villa Erlin )
537,Sibu,MY,80.91,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
539,Mackay,AU,69.67,light rain,-21.15,149.2,International Lodge Motel
540,Cetraro,IT,70.47,overcast clouds,39.5166,15.9416,Hotel Carruba RISTORANTE
542,Mumford,GH,82.53,overcast clouds,5.2618,-0.759,Spanish Villa
544,Boa Vista,BR,73.38,thunderstorm with rain,2.8197,-60.6733,Aipana Plaza Hotel
545,Narasannapeta,IN,88.75,clear sky,18.4167,84.05,AVK events and catering
547,Ambatolampy,MG,67.55,overcast clouds,-19.3833,47.4167,Au Rendez Vous Des P?Ÿƒ¦cheurs
550,Pachmarhi,IN,97.29,overcast clouds,22.4667,78.4333,TBT Budget Stays
551,Gewane,ET,98.78,overcast clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
552,Manokwari,ID,81.3,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
553,Kirovskiy,RU,67.03,clear sky,45.0917,133.5136,"Uyut, Gostinitsa"
555,Guilin,CN,75.31,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
557,Benguela,AO,83.48,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
561,Yarada,IN,91.72,few clouds,17.65,83.2667,Yarada Jungle Beach Resorts
562,El Jicaro,GT,71.44,clear sky,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
564,Port Keats,AU,83.23,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
565,Hobyo,SO,86.83,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
574,Ende,ID,79.99,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
575,Paciran,ID,82.67,scattered clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
580,Tomatlan,MX,66.43,clear sky,19.9333,-105.25,El Salvial
582,Zhangye,CN,66.58,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
585,Cobija,BO,71.33,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
586,Bagula,IN,91.9,broken clouds,23.3167,88.65,Raj Home
588,Buala,SB,80.83,light rain,-8.145,159.5921,Maringe Lagoon Lodge
593,Axim,GH,84.4,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
594,Cap Malheureux,MU,81.46,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
597,Popondetta,PG,74.44,overcast clouds,-8.7537,148.2534,Timos Transit House
599,Daman,IN,93.0,broken clouds,20.4167,72.85,Silver Sands Beach Resort
600,Sakakah,SA,85.57,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
601,Songea,TZ,74.44,overcast clouds,-10.6833,35.65,mtakuja
602,Oriximina,BR,73.56,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
603,Kapit,MY,80.1,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
606,Ternate,ID,81.37,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
611,Kaeo,NZ,68.32,broken clouds,-35.1,173.7833,Bushido Lodge
614,Teahupoo,PF,71.56,light rain,-17.8333,-149.2667,Vanira Lodge
617,Chardara,KZ,72.32,scattered clouds,41.2547,67.9692,Жанаргул
618,Namibe,AO,83.73,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
625,La Asuncion,VE,75.67,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
628,Nurota,UZ,72.54,broken clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
632,Sao Felix Do Xingu,BR,71.13,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
634,Coahuayana,MX,69.73,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
635,Amahai,ID,81.52,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
641,Along,IN,85.51,moderate rain,28.1667,94.7667,Hotel West
648,Pathanamthitta,IN,89.22,broken clouds,9.2667,76.7833,Vijaya Residency
653,Jijiga,ET,82.15,overcast clouds,9.35,42.8,RAMAAS HOTEL
656,Qinzhou,CN,75.67,overcast clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
659,Am Timan,TD,96.98,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
661,Vila Do Maio,CV,75.99,broken clouds,15.1333,-23.2167,Hotel Marilu
662,Sarangani,PH,83.16,overcast clouds,5.4033,125.4636,Ballistic Islet
663,Port Blair,IN,89.64,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
666,Ranot,TH,84.78,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
667,Biak,ID,79.68,overcast clouds,-0.9131,122.8766,Penginapan Kim
668,Moa,CU,75.54,broken clouds,20.6569,-74.9403,Carmen
669,Mangan,IN,75.29,broken clouds,27.5167,88.5333,Hotel Mout View
671,Bentiu,SS,98.13,overcast clouds,9.2333,29.8333,Mandela hôtel
672,Buta,CD,91.44,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
