City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Nikolskoye,RU,2022-04-18 17:58:28,59.7035,30.7861,48.09,88,67,3.44
67,Picota,PE,2022-04-18 17:58:28,-6.9197,-76.3304,82.89,67,78,2.35
68,Tasiilaq,GL,2022-04-18 17:58:29,65.6145,-37.6368,32.31,98,100,5.48
69,New Norfolk,AU,2022-04-18 17:58:29,-42.7826,147.0587,54.91,67,100,2.08
70,Aleksandrovka,UA,2022-04-18 17:58:30,46.8383,32.7612,40.42,89,100,13.82
71,Nuevo Progreso,MX,2022-04-18 17:58:30,23.1667,-97.95,82.47,54,7,15.03
72,Hobart,AU,2022-04-18 17:54:56,-42.8794,147.3294,55.26,79,100,4.61
73,Moissala,TD,2022-04-18 17:58:32,8.3404,17.7663,79.03,61,100,2.26
74,Srednekolymsk,RU,2022-04-18 17:58:33,67.45,153.6833,14.95,95,100,6.11
75,Atuona,PF,2022-04-18 17:58:33,-9.8,-139.0333,79.65,71,52,17.16
76,Kayes,ML,2022-04-18 17:58:34,14.0,-11.0,103.46,9,62,14.27
77,Borogontsy,RU,2022-04-18 17:58:34,62.6683,131.1683,26.47,94,100,9.64
78,Salalah,OM,2022-04-18 17:58:35,17.0151,54.0924,80.22,80,0,2.89
79,Katubao,PH,2022-04-18 17:58:36,5.8892,124.8294,80.01,82,56,4.59
80,Phuket,TH,2022-04-18 17:58:37,8.0,98.25,89.13,94,20,2.3
81,Kargasok,RU,2022-04-18 17:58:37,59.0556,80.8572,28.04,78,24,5.66
82,Iskateley,RU,2022-04-18 17:58:38,67.6803,53.1512,27.75,97,100,7.23
83,San Buenaventura,MX,2022-04-18 17:58:38,27.0833,-101.5333,88.48,53,25,10.58
84,Thompson,CA,2022-04-18 17:58:39,55.7435,-97.8558,35.76,32,40,2.3
85,Punta Arenas,CL,2022-04-18 17:57:15,-53.15,-70.9167,51.91,54,75,12.66
86,Svelgen,NO,2022-04-18 17:58:40,61.7685,5.2955,60.1,73,0,2.51
87,Sao Filipe,CV,2022-04-18 17:58:41,14.8961,-24.4956,72.73,74,44,12.01
88,Mujiayingzi,CN,2022-04-18 17:58:41,42.1167,118.7833,51.31,29,0,9.19
89,Palmer,US,2022-04-18 17:58:42,42.1584,-72.3287,60.15,26,71,8.01
90,Sabya,SA,2022-04-18 17:58:42,17.1495,42.6254,87.42,58,4,3.18
91,Port Macquarie,AU,2022-04-18 17:58:43,-31.4333,152.9167,55.29,94,17,0.0
92,Dikson,RU,2022-04-18 17:59:44,73.5069,80.5464,2.52,94,100,13.27
93,Mapimi,MX,2022-04-18 17:59:44,25.8167,-103.85,82.74,36,77,11.9
94,Carnarvon,AU,2022-04-18 17:59:45,-24.8667,113.6333,68.07,77,54,8.05
95,Lesnoye,RU,2022-04-18 17:59:45,58.2841,35.5158,34.36,96,24,2.66
96,Arraial Do Cabo,BR,2022-04-18 17:59:46,-22.9661,-42.0278,78.76,65,40,9.22
97,Sola,VU,2022-04-18 17:59:46,-13.8833,167.55,81.86,75,82,13.85
98,Coro,VE,2022-04-18 17:59:47,11.4045,-69.6734,85.51,64,94,16.06
99,Marawi,PH,2022-04-18 17:59:48,7.9986,124.2928,69.96,97,97,1.9
100,San Cristobal,VE,2022-04-18 17:59:48,7.7669,-72.225,77.18,53,99,6.98
101,Komsomolskiy,UZ,2022-04-18 17:59:49,40.4272,71.7189,72.32,40,89,2.3
102,Cherskiy,RU,2022-04-18 17:59:49,68.75,161.3,13.55,96,100,2.66
103,Popondetta,PG,2022-04-18 17:59:50,-8.7537,148.2534,72.05,96,60,2.66
104,Eseka,CM,2022-04-18 17:59:51,3.65,10.7667,74.34,99,100,1.81
105,Soure,BR,2022-04-18 17:59:52,-0.7167,-48.5233,82.06,78,81,5.01
106,Lodja,CD,2022-04-18 17:59:52,-3.4833,23.4333,76.21,80,49,0.96
107,Souillac,MU,2022-04-18 17:59:53,-20.5167,57.5167,79.18,94,75,11.5
108,Galveston,US,2022-04-18 17:59:53,29.3669,-94.9669,79.18,69,47,4.0
