City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Great Falls,US,47.5002,-111.3008,33.67,67,40,11.5,scattered clouds
80,Ajaccio,FR,42.0,8.9167,53.58,88,75,8.05,light rain
81,Opunake,NZ,-39.4556,173.8583,67.84,91,98,18.21,overcast clouds
82,Bambanglipuro,ID,-7.95,110.2833,76.48,93,100,0.13,moderate rain
83,Dikson,RU,73.5069,80.5464,8.67,92,100,16.51,overcast clouds
84,Nanortalik,GL,60.1432,-45.2371,36.61,64,100,24.85,overcast clouds
85,Gatesville,US,31.4352,-97.7439,73.35,85,75,8.05,broken clouds
86,Hamilton,US,39.1834,-84.5333,59.56,70,100,13.8,overcast clouds
87,Les Trois-Ilets,MQ,14.539,-61.0361,74.71,88,100,9.22,overcast clouds
88,Airai,TL,-8.9266,125.4092,62.1,93,78,3.51,broken clouds
89,Corowa,AU,-36.0333,146.3833,57.29,82,0,3.85,clear sky
90,Sitka,US,57.0531,-135.33,39.09,75,0,0.0,clear sky
91,Killybegs,IE,54.6333,-8.45,55.11,66,97,18.61,overcast clouds
92,Nantucket,US,41.2835,-70.0995,45.14,92,0,8.05,clear sky
93,Port Alfred,ZA,-33.5906,26.891,85.91,38,100,10.42,overcast clouds
94,Kirakira,SB,-10.4544,161.9205,80.58,84,100,6.49,overcast clouds
95,Punta Arenas,CL,-53.15,-70.9167,37.51,87,0,8.05,clear sky
96,Kavieng,PG,-2.5744,150.7967,81.91,80,99,14.36,light rain
97,Ketchikan,US,55.3422,-131.6461,42.78,81,0,6.91,clear sky
98,Thompson,CA,55.7435,-97.8558,14.65,96,20,4.92,few clouds
99,Itacoatiara,BR,-3.1431,-58.4442,72.57,98,100,1.41,moderate rain
100,Yar-Sale,RU,66.8333,70.8333,12.74,92,100,26.62,light snow
101,Butaritari,KI,3.0707,172.7902,81.3,81,67,12.73,light rain
102,Puerto Escondido,MX,15.85,-97.0667,78.76,64,2,5.1,clear sky
103,Port Elizabeth,ZA,-33.918,25.5701,91.69,33,0,4.61,clear sky
104,Rocha,UY,-34.4833,-54.3333,59.34,91,100,6.98,moderate rain
105,Llaillay,CL,-32.85,-70.9667,55.26,72,9,0.89,clear sky
106,Saint-Pierre,RE,-21.3393,55.4781,83.91,75,0,13.8,clear sky
107,Provideniya,RU,64.3833,-173.3,20.26,88,15,9.8,few clouds
108,Tuktoyaktuk,CA,69.4541,-133.0374,-9.08,100,98,4.79,overcast clouds
109,Norman Wells,CA,65.282,-126.8329,25.86,92,100,3.71,overcast clouds
110,Joshimath,IN,30.5667,79.5667,73.69,35,98,8.75,overcast clouds
111,Almeirim,BR,-1.5233,-52.5817,73.0,99,88,1.54,overcast clouds
112,Katherine,AU,-14.4667,132.2667,88.12,29,58,5.75,broken clouds
113,Ribeira Grande,PT,38.5167,-28.7,59.4,72,75,6.91,broken clouds
